Date,Price,Open,High,Low,Change %
2018-05-07,2276.83,2276.83,2276.83,2276.83,0.18%
2018-05-08,2281.03,2281.03,2281.03,2281.03,0.18%
2018-05-09,2286.22,2286.22,2286.22,2286.22,0.23%
2018-05-10,2287.36,2287.36,2287.36,2287.36,0.05%
2018-05-11,2288.42,2288.42,2288.42,2288.42,0.05%
2018-05-14,2287.02,2287.02,2287.02,2287.02,-0.06%
2018-05-15,2285.24,2285.24,2285.24,2285.24,-0.08%
2018-05-16,2282.47,2282.47,2282.47,2282.47,-0.12%
2018-05-17,2285.16,2285.16,2285.16,2285.16,0.12%
2018-05-18,2280.63,2280.63,2280.63,2280.63,-0.20%
2018-05-22,2285.96,2285.96,2285.96,2285.96,0.23%
2018-05-23,2276.69,2276.69,2276.69,2276.69,-0.41%
2018-05-24,2270.52,2270.52,2270.52,2270.52,-0.27%
2018-05-25,2270.42,2270.42,2270.42,2270.42,-0.00%
2018-05-29,2256.45,2256.45,2256.45,2256.45,-0.62%
2018-05-30,2258.49,2258.49,2258.49,2258.49,0.09%
2018-05-31,2254.48,2254.48,2254.48,2254.48,-0.18%
2018-06-01,2265.14,2265.14,2265.14,2265.14,0.47%
2018-06-04,2268.1,2268.1,2268.1,2268.1,0.13%
2018-06-05,2265.34,2265.34,2265.34,2265.34,-0.12%
2018-06-06,2267.84,2267.84,2267.84,2267.84,0.11%
2018-06-07,2264.87,2264.87,2264.87,2264.87,-0.13%
2018-06-08,2260.38,2260.38,2260.38,2260.38,-0.20%
2018-06-11,2264.41,2264.41,2264.41,2264.41,0.18%
2018-06-12,2264.73,2264.73,2264.73,2264.73,0.01%
2018-06-13,2262.91,2262.9,2262.9,2262.9,-0.08%
2018-06-14,2273.82,2273.82,2273.82,2273.82,0.48%
2018-06-15,2263.61,2263.61,2263.61,2263.61,-0.45%
2018-06-18,2257.6,2257.6,2257.6,2257.6,-0.27%
2018-06-19,2254.0,2254.0,2254.0,2254.0,-0.16%
2018-06-20,2258.29,2258.29,2258.29,2258.29,0.19%
2018-06-21,2252.55,2252.55,2252.55,2252.55,-0.25%
2018-06-22,2259.0,2259.0,2259.0,2259.0,0.29%
2018-06-25,2243.8,2243.8,2243.8,2243.8,-0.67%
2018-06-26,2239.07,2239.07,2239.07,2239.07,-0.21%
2018-06-27,2244.49,2244.49,2244.49,2244.49,0.24%
2018-06-28,2238.93,2238.93,2238.93,2238.93,-0.25%
2018-06-29,2240.89,2240.89,2240.89,2240.89,0.09%
2018-07-02,2234.73,2234.73,2234.73,2234.73,-0.27%
2018-07-03,2241.98,2241.98,2241.98,2241.98,0.32%
2018-07-04,2244.58,2244.58,2244.58,2244.58,0.12%
2018-07-05,2247.6,2247.6,2247.6,2247.6,0.13%
2018-07-06,2253.87,2253.87,2253.87,2253.87,0.28%
2018-07-09,2260.36,2260.36,2260.36,2260.36,0.29%
2018-07-10,2262.14,2262.14,2262.14,2262.14,0.08%
2018-07-11,2254.42,2254.42,2254.42,2254.42,-0.34%
2018-07-12,2258.9,2258.9,2258.9,2258.9,0.20%
2018-07-13,2262.07,2262.07,2262.07,2262.07,0.14%
2018-07-16,2255.75,2255.75,2255.75,2255.75,-0.28%
2018-07-17,2256.38,2256.38,2256.38,2256.38,0.03%
2018-07-18,2258.93,2258.93,2258.93,2258.93,0.11%
2018-07-19,2253.83,2253.83,2253.83,2253.83,-0.23%
2018-07-20,2254.38,2254.38,2254.38,2254.38,0.02%
2018-07-23,2253.34,2253.34,2253.34,2253.34,-0.05%
2018-07-24,2258.17,2258.17,2258.17,2258.17,0.21%
2018-07-25,2256.92,2256.92,2256.92,2256.92,-0.06%
2018-07-26,2261.28,2261.28,2261.28,2261.28,0.19%
2018-07-27,2268.55,2268.55,2268.55,2268.55,0.32%
2018-07-30,2267.87,2267.87,2267.87,2267.87,-0.03%
2018-07-31,2268.95,2268.95,2268.95,2268.95,0.05%
2018-08-01,2262.18,2262.18,2262.18,2262.18,-0.30%
2018-08-02,2254.78,2254.78,2254.78,2254.78,-0.33%
2018-08-03,2259.78,2259.78,2259.78,2259.78,0.22%
2018-08-06,2260.78,2260.78,2260.78,2260.78,0.04%
2018-08-07,2267.51,2267.51,2267.51,2267.51,0.30%
2018-08-08,2266.8,2266.8,2266.8,2266.8,-0.03%
2018-08-09,2267.03,2267.03,2267.03,2267.03,0.01%
2018-08-10,2259.13,2259.12,2259.12,2259.12,-0.35%
2018-08-13,2255.02,2255.02,2255.02,2255.02,-0.18%
2018-08-14,2254.3,2254.3,2254.3,2254.3,-0.03%
2018-08-15,2244.77,2244.77,2244.77,2244.77,-0.42%
2018-08-16,2247.77,2247.77,2247.77,2247.77,0.13%
2018-08-17,2246.67,2246.67,2246.67,2246.67,-0.05%
2018-08-20,2250.5,2250.5,2250.5,2250.5,0.17%
2018-08-21,2252.43,2252.43,2252.43,2252.43,0.09%
2018-08-22,2247.76,2247.76,2247.76,2247.76,-0.21%
2018-08-23,2244.59,2244.59,2244.59,2244.59,-0.14%
2018-08-24,2245.75,2245.75,2245.75,2245.75,0.05%
2018-08-27,2253.3,2253.3,2253.3,2253.3,0.34%
2018-08-28,2251.48,2251.48,2251.48,2251.48,-0.08%
2018-08-29,2253.69,2253.69,2253.69,2253.69,0.10%
2018-08-30,2250.4,2250.4,2250.4,2250.4,-0.15%
2018-08-31,2245.73,2245.73,2245.73,2245.73,-0.21%
2018-09-03,2242.14,2242.14,2242.14,2242.14,-0.16%
2018-09-04,2234.59,2234.59,2234.59,2234.59,-0.34%
2018-09-05,2229.77,2229.77,2229.77,2229.77,-0.22%
2018-09-06,2227.97,2227.97,2227.97,2227.97,-0.08%
2018-09-07,2227.27,2227.27,2227.27,2227.27,-0.03%
2018-09-10,2230.25,2230.25,2230.25,2230.25,0.13%
