Date,Price,Open,High,Low,Change %
2019-04-23,246.98,246.98,246.98,246.98,0.87%
2019-04-24,248.21,248.21,248.21,248.21,0.50%
2019-04-25,247.53,247.53,247.53,247.53,-0.27%
2019-04-26,248.67,248.67,248.67,248.67,0.46%
2019-04-29,247.86,247.86,247.86,247.86,-0.33%
2019-04-30,248.19,248.19,248.19,248.19,0.13%
2019-05-01,245.78,245.78,245.78,245.78,-0.97%
2019-05-02,243.13,243.13,243.13,243.13,-1.08%
2019-05-03,242.84,242.84,242.84,242.84,-0.12%
2019-05-07,240.07,240.07,240.07,240.07,-1.14%
2019-05-08,240.33,240.33,240.33,240.33,0.11%
2019-05-09,239.01,239.01,239.01,239.01,-0.55%
2019-05-10,240.28,240.28,240.28,240.28,0.53%
2019-05-13,236.36,236.36,236.36,236.36,-1.63%
2019-05-14,237.56,237.56,237.56,237.56,0.51%
2019-05-15,239.01,239.01,239.01,239.01,0.61%
2019-05-16,242.28,242.28,242.28,242.28,1.37%
2019-05-17,241.55,241.55,241.55,241.55,-0.30%
2019-05-20,239.62,239.62,239.62,239.62,-0.80%
2019-05-21,241.46,241.46,241.46,241.46,0.77%
2019-05-22,242.37,242.37,242.37,242.37,0.38%
2019-05-23,237.93,237.93,237.93,237.93,-1.83%
2019-05-24,238.72,238.72,238.72,238.72,0.33%
2019-05-27,238.74,238.74,238.74,238.74,0.01%
2019-05-28,238.65,238.65,238.65,238.65,-0.04%
2019-05-29,236.17,236.17,236.17,236.17,-1.04%
2019-05-30,237.17,237.17,237.17,237.17,0.42%
2019-05-31,235.02,235.02,235.02,235.02,-0.91%
2019-06-04,236.37,236.37,236.37,236.37,0.57%
2019-06-05,240.31,240.31,240.31,240.31,1.67%
2019-06-06,240.8,240.8,240.8,240.8,0.20%
2019-06-07,243.63,243.63,243.63,243.63,1.18%
2019-06-10,244.64,244.64,244.64,244.64,0.41%
2019-06-11,244.38,244.38,244.38,244.38,-0.11%
2019-06-12,245.54,245.54,245.54,245.54,0.47%
2019-06-13,245.51,245.51,245.51,245.51,-0.01%
2019-06-14,244.8,244.8,244.8,244.8,-0.29%
2019-06-17,244.79,244.79,244.79,244.79,-0.00%
2019-06-18,247.11,247.11,247.11,247.11,0.95%
2019-06-19,247.04,247.04,247.04,247.04,-0.03%
2019-06-20,249.48,249.48,249.48,249.48,0.99%
2019-06-21,247.7,247.7,247.7,247.7,-0.71%
2019-06-24,248.0,248.0,248.0,248.0,0.12%
2019-06-25,246.68,246.68,246.68,246.68,-0.53%
2019-06-26,244.5,244.5,244.5,244.5,-0.88%
2019-06-27,245.13,245.13,245.13,245.13,0.26%
2019-06-28,247.19,247.19,247.19,247.19,0.84%
2019-07-01,250.23,250.23,250.23,250.23,1.23%
2019-07-02,250.54,250.54,250.54,250.54,0.12%
2019-07-03,252.5,252.5,252.5,252.5,0.78%
2019-07-04,251.91,251.91,251.91,251.91,-0.23%
2019-07-05,251.75,251.75,251.75,251.75,-0.06%
2019-07-08,250.95,250.95,250.95,250.95,-0.32%
2019-07-09,250.89,250.89,250.89,250.89,-0.02%
2019-07-10,250.89,250.89,250.89,250.89,0.00%
2019-07-11,252.49,252.49,252.49,252.49,0.64%
2019-07-12,252.15,252.15,252.15,252.15,-0.13%
2019-07-15,252.7,252.7,252.7,252.7,0.22%
2019-07-16,252.02,252.02,252.02,252.02,-0.27%
2019-07-17,251.53,251.53,251.53,251.53,-0.19%
2019-07-18,250.47,250.47,250.47,250.47,-0.42%
2019-07-19,250.56,250.56,250.56,250.56,0.04%
2019-07-22,250.83,250.83,250.83,250.83,0.11%
2019-07-23,251.88,251.88,251.88,251.88,0.42%
2019-07-24,252.69,252.69,252.69,252.69,0.32%
2019-07-25,252.88,252.88,252.88,252.88,0.08%
2019-07-26,256.78,256.78,256.78,256.78,1.54%
2019-07-29,256.13,256.13,256.13,256.13,-0.25%
2019-07-30,254.58,254.58,254.58,254.58,-0.61%
2019-07-31,253.79,253.79,253.79,253.79,-0.31%
2019-08-01,252.76,252.76,252.76,252.76,-0.41%
2019-08-02,250.14,250.14,250.14,250.14,-1.04%
2019-08-06,246.24,246.24,246.24,246.24,-1.56%
2019-08-07,248.48,248.48,248.48,248.48,0.91%
2019-08-08,254.46,254.46,254.46,254.46,2.41%
2019-08-09,252.24,252.24,252.24,252.24,-0.87%
2019-08-12,249.77,249.77,249.77,249.77,-0.98%
2019-08-13,252.82,252.82,252.82,252.82,1.22%
2019-08-14,247.76,247.76,247.76,247.76,-2.00%
2019-08-15,248.55,248.55,248.55,248.55,0.32%
2019-08-16,250.36,250.36,250.36,250.36,0.73%
2019-08-19,255.22,255.22,255.22,255.22,1.94%
2019-08-20,253.22,253.22,253.22,253.22,-0.78%
2019-08-21,256.73,256.73,256.73,256.73,1.39%
2019-08-22,254.9,254.9,254.9,254.9,-0.71%
2019-08-23,249.31,249.31,249.31,249.31,-2.19%
2019-08-26,252.62,252.62,252.62,252.62,1.33%
2019-08-27,253.25,253.25,253.25,253.25,0.25%
2019-08-28,253.37,253.37,253.37,253.37,0.05%
2019-08-29,255.79,255.79,255.79,255.79,0.96%
2019-08-30,256.6,256.6,256.6,256.6,0.32%
2019-09-02,255.97,255.97,255.97,255.97,-0.25%
2019-09-03,254.47,254.47,254.47,254.47,-0.59%
2019-09-04,257.36,257.36,257.36,257.36,1.14%
2019-09-05,260.98,260.98,260.98,260.98,1.41%
2019-09-06,261.45,261.45,261.45,261.45,0.18%
2019-09-09,257.87,257.87,257.87,257.87,-1.37%
2019-09-10,253.89,253.89,253.89,253.89,-1.54%
2019-09-11,254.86,254.86,254.86,254.86,0.38%
2019-09-12,254.7,254.7,254.7,254.7,-0.06%
2019-09-13,256.33,256.33,256.33,256.33,0.64%
2019-09-16,254.63,254.63,254.63,254.63,-0.66%
2019-09-17,255.39,255.39,255.39,255.39,0.30%
2019-09-18,256.45,256.45,256.45,256.45,0.42%
2019-09-19,256.96,256.96,256.96,256.96,0.20%
2019-09-20,255.38,255.38,255.38,255.38,-0.61%
2019-09-23,255.4,255.4,255.4,255.4,0.01%
2019-09-24,254.45,254.45,254.45,254.45,-0.37%
2019-09-25,256.32,256.32,256.32,256.32,0.73%
2019-09-26,257.68,257.68,257.68,257.68,0.53%
2019-09-27,255.86,255.86,255.86,255.86,-0.71%
2019-09-30,257.38,257.38,257.38,257.38,0.59%
2019-10-01,254.93,254.93,254.93,254.93,-0.95%
2019-10-02,249.61,249.61,249.61,249.61,-2.09%
2019-10-03,251.92,251.92,251.92,251.92,0.93%
2019-10-04,255.34,255.34,255.34,255.34,1.36%
