Date,Price,Open,High,Low,Change %
2018-07-24,284.34,284.34,284.34,284.34,0.30%
2018-07-25,285.59,285.59,285.59,285.59,0.44%
2018-07-26,287.79,287.79,287.79,287.79,0.77%
2018-07-27,285.16,285.16,285.16,285.16,-0.91%
2018-07-30,280.52,280.52,280.52,280.52,-1.63%
2018-07-31,281.49,281.49,281.49,281.49,0.35%
2018-08-01,282.18,282.18,282.18,282.18,0.25%
2018-08-02,283.8,283.8,283.8,283.8,0.57%
2018-08-03,284.07,284.07,284.07,284.07,0.10%
2018-08-07,284.78,284.78,284.78,284.78,0.25%
2018-08-08,283.04,283.04,283.04,283.04,-0.61%
2018-08-09,284.25,284.25,284.25,284.25,0.43%
2018-08-10,285.55,285.55,285.55,285.55,0.46%
2018-08-13,285.61,285.61,285.61,285.61,0.02%
2018-08-14,287.98,287.98,287.98,287.98,0.83%
2018-08-15,285.97,285.97,285.97,285.97,-0.70%
2018-08-16,287.0,287.0,287.0,287.0,0.36%
2018-08-17,286.76,286.76,286.76,286.76,-0.08%
2018-08-20,288.15,288.15,288.15,288.15,0.48%
2018-08-21,285.93,285.93,285.93,285.93,-0.77%
2018-08-22,285.82,285.82,285.82,285.82,-0.04%
2018-08-23,287.0,287.0,287.0,287.0,0.41%
2018-08-24,287.0,287.0,287.0,287.0,0.00%
2018-08-27,288.27,288.27,288.27,288.27,0.44%
2018-08-28,287.76,287.76,287.76,287.76,-0.18%
2018-08-29,288.86,288.86,288.86,288.86,0.38%
2018-08-30,288.58,288.58,288.58,288.58,-0.10%
2018-08-31,290.55,290.55,290.55,290.55,0.68%
2018-09-03,290.14,290.14,290.14,290.14,-0.14%
2018-09-04,288.35,288.35,288.35,288.35,-0.62%
2018-09-05,284.71,284.71,284.71,284.71,-1.26%
2018-09-06,285.29,285.29,285.29,285.29,0.20%
2018-09-07,286.31,286.31,286.31,286.31,0.36%
2018-09-10,286.54,286.54,286.54,286.54,0.08%
2018-09-11,287.73,287.73,287.73,287.73,0.42%
2018-09-12,287.94,287.94,287.94,287.94,0.07%
2018-09-13,287.76,287.76,287.76,287.76,-0.06%
2018-09-14,289.41,289.41,289.41,289.41,0.57%
2018-09-17,287.0,287.0,287.0,287.0,-0.83%
2018-09-18,288.79,288.79,288.79,288.79,0.62%
2018-09-19,288.09,288.09,288.09,288.09,-0.24%
2018-09-20,287.81,287.81,287.81,287.81,-0.10%
2018-09-21,288.88,288.88,288.88,288.88,0.37%
2018-09-24,287.71,287.71,287.71,287.71,-0.41%
2018-09-25,287.29,287.29,287.29,287.29,-0.15%
2018-09-26,288.0,288.0,288.0,288.0,0.25%
2018-09-27,289.84,289.84,289.84,289.84,0.64%
2018-09-28,290.88,290.88,290.88,290.88,0.36%
2018-10-01,293.05,293.05,293.05,293.05,0.75%
2018-10-02,292.19,292.19,292.19,292.19,-0.29%
2018-10-03,292.53,292.53,292.53,292.53,0.12%
2018-10-04,287.35,287.35,287.35,287.35,-1.77%
2018-10-05,285.17,285.17,285.17,285.17,-0.76%
2018-10-08,283.4,283.4,283.4,283.4,-0.62%
2018-10-09,282.56,282.56,282.56,282.56,-0.30%
2018-10-10,271.73,271.73,271.73,271.73,-3.83%
2018-10-11,266.6,266.6,266.6,266.6,-1.89%
2018-10-12,271.02,271.02,271.02,271.02,1.66%
2018-10-15,268.87,268.87,268.87,268.87,-0.79%
2018-10-16,275.31,275.31,275.31,275.31,2.40%
2018-10-17,276.64,276.64,276.64,276.64,0.48%
2018-10-18,274.61,274.61,274.61,274.61,-0.73%
2018-10-19,273.03,273.03,273.03,273.03,-0.58%
2018-10-22,273.97,273.97,273.97,273.97,0.34%
2018-10-23,270.92,270.92,270.92,270.92,-1.11%
2018-10-24,267.61,267.61,267.61,267.61,-1.22%
2018-10-25,272.26,272.26,272.26,272.26,1.74%
2018-10-26,267.32,267.32,267.32,267.32,-1.81%
2018-10-30,268.11,268.11,268.11,268.11,0.30%
2018-10-31,274.82,274.82,274.82,274.82,2.50%
2018-11-01,274.56,274.56,274.56,274.56,-0.09%
2018-11-02,274.89,274.89,274.89,274.89,0.12%
2018-11-05,274.38,274.38,274.38,274.38,-0.19%
2018-11-06,275.94,275.94,275.94,275.94,0.57%
2018-11-07,280.75,280.75,280.75,280.75,1.74%
2018-11-08,282.24,282.24,282.24,282.24,0.53%
2018-11-09,281.63,281.63,281.63,281.63,-0.22%
2018-11-12,280.0,280.0,280.0,280.0,-0.58%
2018-11-13,279.01,279.01,279.01,279.01,-0.35%
2018-11-14,276.77,276.77,276.77,276.77,-0.80%
2018-11-15,277.59,277.59,277.59,277.59,0.30%
2018-11-16,277.48,277.48,277.48,277.48,-0.04%
2018-11-19,271.44,271.44,271.44,271.44,-2.18%
2018-11-20,269.59,269.59,269.59,269.59,-0.68%
2018-11-21,270.14,270.14,270.14,270.14,0.20%
2018-11-22,269.59,269.59,269.59,269.59,-0.20%
2018-11-23,270.06,270.06,270.06,270.06,0.17%
2018-11-26,273.65,273.65,273.65,273.65,1.33%
2018-11-27,274.71,274.71,274.71,274.71,0.39%
2018-11-28,278.02,278.02,278.02,278.02,1.20%
2018-11-29,278.27,278.27,278.27,278.27,0.09%
2018-11-30,280.97,280.97,280.97,280.97,0.97%
2018-12-03,285.17,285.17,285.17,285.17,1.49%
2018-12-04,278.5,278.5,278.5,278.5,-2.34%
2018-12-05,277.55,277.55,277.55,277.55,-0.34%
2018-12-06,275.71,275.71,275.71,275.71,-0.66%
2018-12-07,270.23,270.23,270.23,270.23,-1.99%
2018-12-10,270.66,270.66,270.66,270.66,0.16%
2018-12-11,272.78,272.78,272.78,272.78,0.78%
2018-12-12,273.57,273.57,273.57,273.57,0.29%
2018-12-13,273.43,273.43,273.43,273.43,-0.05%
2018-12-14,269.66,269.66,269.66,269.66,-1.38%
2018-12-17,262.77,262.77,262.77,262.77,-2.56%
2018-12-18,262.56,262.56,262.56,262.56,-0.08%
2018-12-19,261.02,261.02,261.02,261.02,-0.59%
2018-12-20,253.98,253.98,253.98,253.98,-2.70%
2018-12-21,252.22,252.22,252.22,252.22,-0.69%
2018-12-24,248.02,248.02,248.02,248.02,-1.67%
2018-12-28,256.97,256.97,256.97,256.97,3.61%
2018-12-31,258.96,258.96,258.96,258.96,0.77%
2019-01-02,260.59,260.59,260.59,260.59,0.63%
2019-01-03,252.86,252.86,252.86,252.86,-2.97%
2019-01-04,260.5,260.5,260.5,260.5,3.02%
2019-01-07,261.11,261.11,261.11,261.11,0.23%
2019-01-08,264.05,264.05,264.05,264.05,1.13%
2019-01-09,262.95,262.95,262.95,262.95,-0.42%
2019-01-10,263.9,263.9,263.9,263.9,0.36%
2019-01-11,264.61,264.61,264.61,264.61,0.27%
2019-01-14,262.55,262.55,262.55,262.55,-0.78%
2019-01-15,266.52,266.52,266.52,266.52,1.51%
2019-01-16,267.68,267.68,267.68,267.68,0.44%
2019-01-17,270.05,270.05,270.05,270.05,0.89%
