Date,Price,Open,High,Low,Change %
2018-07-11,34.52,34.52,34.52,34.52,0.37%
2018-07-12,34.62,34.62,34.62,34.62,0.29%
2018-07-13,35.051,35.051,35.051,35.051,1.24%
2018-07-16,34.867,34.867,34.867,34.867,-0.53%
2018-07-17,34.821,34.821,34.821,34.821,-0.13%
2018-07-18,35.423,35.423,35.423,35.423,1.73%
2018-07-19,35.389,35.389,35.389,35.389,-0.09%
2018-07-20,35.213,35.213,35.213,35.213,-0.50%
2018-07-23,35.257,35.257,35.257,35.257,0.12%
2018-07-24,35.365,35.365,35.365,35.365,0.31%
2018-07-25,35.387,35.387,35.387,35.387,0.06%
2018-07-26,35.157,35.157,35.157,35.157,-0.65%
2018-07-27,35.389,35.389,35.389,35.389,0.66%
2018-07-30,35.009,35.009,35.009,35.009,-1.07%
2018-07-31,34.429,34.429,34.429,34.429,-1.66%
2018-08-01,34.582,34.582,34.582,34.582,0.44%
2018-08-02,34.633,34.633,34.633,34.633,0.15%
2018-08-03,34.975,34.975,34.975,34.975,0.99%
2018-08-06,35.192,35.192,35.192,35.192,0.62%
2018-08-07,35.099,35.099,35.099,35.099,-0.26%
2018-08-08,34.994,34.994,34.994,34.994,-0.30%
2018-08-09,34.912,34.912,34.912,34.912,-0.23%
2018-08-10,35.139,35.139,35.139,35.139,0.65%
2018-08-13,35.222,35.222,35.222,35.222,0.24%
2018-08-14,35.219,35.219,35.219,35.219,-0.01%
2018-08-16,35.201,35.201,35.201,35.201,-0.05%
2018-08-17,35.308,35.308,35.308,35.308,0.31%
2018-08-20,35.341,35.341,35.341,35.341,0.09%
2018-08-21,35.188,35.188,35.188,35.188,-0.43%
2018-08-22,34.971,34.971,34.971,34.971,-0.62%
2018-08-23,35.044,35.044,35.044,35.044,0.21%
2018-08-24,35.046,35.046,35.046,35.046,0.01%
2018-08-28,35.165,35.165,35.165,35.165,0.34%
2018-08-29,35.273,35.273,35.273,35.273,0.31%
2018-08-30,35.348,35.348,35.348,35.348,0.21%
2018-08-31,35.256,35.256,35.256,35.256,-0.26%
2018-09-03,35.339,35.339,35.339,35.339,0.24%
2018-09-04,35.368,35.368,35.368,35.368,0.08%
2018-09-05,35.039,35.039,35.039,35.039,-0.93%
